pd_id,brand_name,model_name,model_number,additional_model_information,upc,product_type,type,special_type,heat_pump_technology,drum_capacity_cu_ft,height_inches,width_inches,depth_inches,combined_energy_factor_cef,estimated_annual_energy_use_kwh_yr,estimated_energy_test_cycle_time_min,energy_test_cycle_information,additional_dryer_features,vented_or_ventless,refrigerant_type,refrigerant_with_gwp,connected,connected_demand_response_functionality_tested,communication_standard_application_layer,direct_on_premises_open_standard_based_interconnection,paired_energy_star_clothes_washer_available,paired_energy_star_clothes_washer_energy_star_model_identifier,date_available_on_market,date_qualified,markets,energy_star_model_identifier,meets_most_efficient_criteria,calculated_combined_energy_factor_max_dryness_setting_lbs_kwh,voltage
2310938,Electrolux,EFMG527****,EFMG527****,,12505387357;12505387388,Gas Standard Vented,Gas,,,8,38,27.13,31.25,3.48,687,55,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle,Eco-Mode, Anti-Static",Vented,,,No,,,,Yes,ES_1021080_EFLS527****_01152018115400_70163739,2018-02-06T00:00:00.000,2018-02-22T00:00:00.000,"United States, Canada",ES_1021080_EFMG527****_02222018172549_0349492,No,,
2268425,Kenmore,7155#,7155#,,,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Medium Dry,"Sanitization cycle,Steam cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2016-06-23T00:00:00.000,2016-05-31T00:00:00.000,"United States, Canada",ES_15649_7155#_06012016024614_70082029,No,,
2271287,Samsung,DV45K71**G*,DV45K71**G*,,8.87276E+11,Gas Standard Vented,Gas,,,7.4,38.7,27,32.6,3.49,685,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2016-07-22T00:00:00.000,2016-06-30T00:00:00.000,"United States, Canada",ES_1023593_DV45K71**G*_06302016024435_70086546,No,,
2274065,GE,GTD65GB*K***,GTD65GB*K***,,7.57639E+11,Gas Standard Vented,Gas,,,7.4,43.7,26.96,30.48,3.48,687,77,COTTONS/LOW TEMP CYCLE WITH DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Sanitization cycle,Drum light,Time remaining display,Energy monitor/indicator",Vented,,,No,,,,Yes,"ES_1123206_GTW680BSJ3WS_07082016164816_6496700,ES_1123206_GTW680BSJ4WS_12122016184150_8110488,ES_1123206_GTW680BSJ4WS_02142018122007_0807403",2016-10-03T00:00:00.000,2016-08-02T00:00:00.000,Canada,ES_1123206_GTD65GB*K***_08032016202149_5709741,No,,
2274692,LG,DLGX4371*,DLGX4371*,,048231013284;048231013314;048231018807,Gas Standard Vented,Gas,,,7.4,38.69,27,30,3.49,685,57,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,No,,2016-08-23T00:00:00.000,2016-08-11T00:00:00.000,"United States, Canada",ES_1118034_DLGX4371*_08112016123245_70093199,No,,
2274694,Kenmore,9139#,9139#,,,Gas Standard Vented,Gas,,,7.4,38.69,27,30,3.49,685,63,Normal_Normal Dry,"Sanitization cycle,Steam cycle,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2016-08-23T00:00:00.000,2016-08-11T00:00:00.000,"United States, Canada",ES_1118034_9139#_08112016123245_70093199,No,,
2282557,Maytag,MGDB955FC*,MGDB955FC*,,8.83049E+11,Gas Standard Vented,Gas,,,9.2,41,29,33,3.48,687,61,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,2016-04-25T00:00:00.000,2016-10-27T00:00:00.000,"United States, Canada",ES_22856_MGDB955FC*_10272016172204_8924063,No,,
2282558,Maytag,MGDB955FS*,MGDB955FS*,,8.83049E+11,Gas Standard Vented,Gas,,,9.2,41,29,33,3.48,687,60,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,2016-04-25T00:00:00.000,2016-10-27T00:00:00.000,"United States, Canada",ES_22856_MGDB955FS*_10272016172337_9017668,No,,
2282559,Maytag,MGDB955FW*,MGDB955FW*,,8.83049E+11,Gas Standard Vented,Gas,,,9.2,41,29,33,3.48,687,60,"ENERGY SAVER, NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, NORMAL DRYNESS LEVEL.","Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,Yes,ES_22856_MVWB955F**_08222016220340_3420991,2016-04-25T00:00:00.000,2016-10-27T00:00:00.000,"United States, Canada",ES_22856_MGDB955FW*_10272016172601_9161671,No,,
2286906,LG,DLG7201*E,DLG7201*E,,048231020299;048231024563,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,,,2016-12-04T00:00:00.000,2016-12-13T00:00:00.000,"United States, Canada",ES_1118034_DLG7201*E_12222016065418_70112790,No,,
2290032,Samsung,DVG45M55***,DVG45M55***,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,32,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,Yes,ES_1023593_WF45M55**A*_11242016052047_70108499,2017-01-30T00:00:00.000,2017-01-17T00:00:00.000,"United States, Canada",ES_1023593_DVG45M55***_02032017114750_70117715,No,,
2290033,Samsung,DVG60M99***,DVG60M99***,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,32,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,Yes,ES_1023593_WF45M55**A*_11242016052047_70108499,2017-01-30T00:00:00.000,2017-01-17T00:00:00.000,"United States, Canada",ES_1023593_DVG60M99***_02032017114750_70117715,No,,
2290034,Samsung,DVG55M96***,DVG55M96***,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,32,3.49,685,64,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,Yes,ES_1023593_WF45M55**A*_11242016052047_70108499,2017-01-30T00:00:00.000,2017-01-17T00:00:00.000,"United States, Canada",ES_1023593_DVG55M96***_02032017114750_70117715,No,,
2290035,Samsung,DVG54M87***,DVG54M87***,,8.87276E+11,Gas Standard Vented,Gas,,,7.4,42.4,27,30.2,3.49,685,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,Yes,ES_1023593_WA54M87**A*_01122017122713_70115961,2017-01-30T00:00:00.000,2017-01-19T00:00:00.000,"United States, Canada",ES_1023593_DVG54M87***_02032017114750_70117717,No,,
2290036,Samsung,DVG52M86***,DVG52M86***,,8.87276E+11,Gas Standard Vented,Gas,,,7.4,42.4,27,30.2,3.49,685,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,Yes,ES_1023593_WA54M87**A*_01122017122713_70115961,2017-01-30T00:00:00.000,2017-01-19T00:00:00.000,"United States, Canada",ES_1023593_DVG52M86***_02032017114750_70117717,No,,
2290037,Samsung,DVG52M77***,DVG52M77***,,8.87276E+11,Gas Standard Vented,Gas,,,7.4,42.4,27,30.2,3.49,685,65,"Normal cycle, Eco Dry, Automatic Termination, Medium temp, Normal Dry dryness level","Filter cleaning indicator,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display",Vented,,,No,,,,Yes,ES_1023593_WA54M87**A*_01122017122713_70115961,2017-01-30T00:00:00.000,2017-01-19T00:00:00.000,"United States, Canada",ES_1023593_DVG52M77***_02032017114750_70117717,No,,
2294649,LG,DLG7051*,DLG7051*,,48231024068,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,No,,2017-04-13T00:00:00.000,2017-04-13T00:00:00.000,"United States, Canada",ES_1118034_DLG7051*_04202017041626_70132177,No,,
2294650,LG,DLG3181*,DLG3181*,,48231024037,Gas Standard Vented,Gas,,,7.4,40.19,27,28.94,3.49,685,57,Cotton/Normal_Normal Dry,"Time remaining display,Wrinkle prevention option",Vented,,,No,,,,No,,2017-04-13T00:00:00.000,2017-04-13T00:00:00.000,"United States, Canada",ES_1118034_DLG3181*_04202017041626_70132177,No,,
2295779,LG,DLGX5006*,DLGX5006*,,48231019057,Gas Standard Vented,Gas,,,7.4,38.69,27,30,3.49,685,63,Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,No,,2017-05-24T00:00:00.000,2017-05-10T00:00:00.000,"United States, Canada",ES_1118034_DLGX5006*_05112017113153_70137001,No,,
2297024,GE,GTD65GBSJ0WS,GTD65GB*L***,,84691825128,Gas Standard Vented,Gas,,,7.4,43.7,26.96,30.48,3.48,687,77,"COTTONS CYCLE, LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON","Drum light,Time remaining display",Vented,,,No,,,,No,,2017-06-05T00:00:00.000,2017-06-05T00:00:00.000,United States,ES_1123206_GTD65GB*L***_06052017123211_5931413,No,,
2297396,LG,DLGY1902*E,DLGY1902*E,,048231020619;048231020640,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Normal Dry,"Time remaining display,Wrinkle prevention option,Steam cycle",Vented,,,No,,,,No,,2017-01-20T00:00:00.000,2017-01-20T00:00:00.000,"United States, Canada",ES_1118034_DLGY1902*E_01232017115209_70118391,No,,
2299203,GE,GTD75GCML***,GTD75GCML***,,7.57639E+11,Gas Standard Vented,Gas,,,7.4,43.7,26.96,30.48,3.48,687,75,COTTONS CYCLE / LOW TEMP WITH THE DEFAULT DRYNESS SETTING OF DRY AND DEFAULT EDRY ON,"Drum light,Time remaining display",Vented,,,No,,,,Yes,ES_1123206_GTW750C*L***_05242017160757_2077084,2017-07-01T00:00:00.000,2017-07-06T00:00:00.000,Canada,ES_1123206_GTD75GCML***_07062017170144_0504053,No,,
2307925,GE,GFD45GSM****,GFD45GSM***,"GFD45GSM****,GFD45GSMM0WW,; GFD45GSM***,GFD45GSMM0DG,",7.57639E+11,Gas Standard Vented,Gas,,,7.5,39.38,27,33,3.48,687,64,"COTTONS CYCLE, TEMPERATURE SETTING LOW, DRYNESS SETTING OF DRY.",Time remaining display,Vented,,,No,,,,No,,2018-01-02T00:00:00.000,2017-12-15T00:00:00.000,Canada,ES_1123206_GFD45GSM***_12152017151611_0971172,No,,
2307926,GE,GFD40GSM****,GFD40GSM****,"GFD40GSM****,GFD40GSMM0WW,",7.57639E+11,Gas Standard Vented,Gas,,,7,39.38,27,32.19,3.48,687,65,"COTTONS CYCLE, TEMPERATURE SETTING EXTRA LOW, DRYNESS SETTING OF DRY, EDRY.",Time remaining display,Vented,,,No,,,,No,,2018-01-02T00:00:00.000,2017-12-15T00:00:00.000,Canada,ES_1123206_GFD40GSM****_12152017151730_1050704,No,,
2310939,Electrolux,EFMG627****,EFMG627****,,12505387418;12505387449,Gas Standard Vented,Gas,,,8,38,27.13,31.25,3.48,687,55,NORMAL / NORMAL TEMP / NORMAL DRY / ECO,"Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle,Eco-Mode, Anti-Static",Vented,,,No,,,,Yes,ES_1021080_EFLS627****_02072018120848_70172556,2018-02-06T00:00:00.000,2018-02-22T00:00:00.000,"United States, Canada",ES_1021080_EFMG627****_02222018172603_0363110,No,,
2324037,LG,DLG7301*E,DLG7301*E,,048231026390;048231026413,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Normal Dry,"Time remaining display,Wrinkle prevention option",Vented,,,No,,,,No,,2018-08-10T00:00:00.000,2018-08-03T00:00:00.000,"United States, Canada",ES_1118034_DLG7301*E_08072018043658_70193797,No,,
2327884,Whirlpool,WGD5620H**,WGD5620H**,,8.83049E+11,Gas Standard Vented,Gas,,,7.4,38,27,31,3.48,687,66,"REGULAR + NORMAL, HIGH TEMP (5 DOTS), DRYNESS LEVEL NORMAL (2 DOTS), ECOBOOST ON, AUTO TERM","Time remaining display,Drum light,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,Yes,ES_15649_WFW5620H**_10142018184621_2781148,2018-10-15T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_WGD5620H**_10142018203626_9386288,No,,
2350502,LG,DLG3401*,DLG3401*,,48231028042,Gas Standard Vented,Gas,,,7.4,38.69,27,30,3.49,685,70,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2019-11-26T00:00:00.000,2019-11-26T00:00:00.000,"United States, Canada",ES_1118034_DLG3401*_11282019124520_80024957,No,,
2350504,Kenmore,7177#,7177#,,,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2019-11-26T00:00:00.000,2019-11-26T00:00:00.000,"United States, Canada",ES_0015649_7177#_11282019124520_80024957,No,,
2350506,Kenmore,7145#,7145#,,,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2019-11-26T00:00:00.000,2019-11-26T00:00:00.000,"United States, Canada",ES_0015649_7145#_11282019124520_80024957,No,,
2351122,GE,G78G_4_T,GFD65GS*N***,",GFD65GSPNSN,Satin Nickel; ,GFD65GSSNWW,Color: White",084691848257;084691848264,Gas Standard Vented,Gas,,,7.8,39.75,28,32,3.48,687,72,"Cottons, eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",2022-01-17T00:00:00.000,2022-01-13T00:00:00.000,"United States, Canada",ES_1123206_GFD65GS*N***_12112019174425_6265564,No,,
2351123,GE,G78G_4_T,GFD85GS*N***,",GFD85GSPNDG,Color: Diamond Gray; ,GFD85GSPNRS,Color: Sapphire Blue; ,GFD85GSSNWW,Color: White",84691848233,Gas Standard Vented,Gas,,,7.8,39.75,28,32,3.48,687,72,"Cottons, eco Dry default on, High Temp, Dry Dryness","Sanitization cycle,Filter cleaning indicator,Steam cycle,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,Yes,"ES_1123206_GFW850S*N***_09182019105700_4220025,ES_1123206_PFW950S*T***_120620211047758_5190619,ES_1123206_GFW650S*N***_09122019155821_3901966",2022-01-17T00:00:00.000,2022-01-13T00:00:00.000,"United States, Canada",ES_1123206_GFD85GS*N***_12112019174131_6091607,No,,
2351599,Samsung,DVG45T61***,DVG45T61***,,8.87276E+11,Gas Standard Vented,Gas,,,7.5,38.7,27,52.6,3.48,687,70,"Normal Setting, Dryness Level Normal, Dry Temperature Medium, Eco Dry Default ON","Sanitization cycle,Steam cycle,Bedding, Heavy duty",Vented,,,No,,,,Yes,ES_1023593_WF45R61**A*_02042019013708_70211758,2020-01-15T00:00:00.000,2019-11-27T00:00:00.000,"United States, Canada",ES_1023593_DVG45T61***_12192019075804_80025528,No,,
2354243,LG,DLGX7881*E,DLGX7881*E,,48231028530,Gas Standard Vented,Gas,,,7.3,40.19,27,28.94,3.49,685,70,Normal_Normal Dry,"Wrinkle prevention option,Time remaining display",Vented,,,No,,,,No,,2020-01-29T00:00:00.000,2020-01-29T00:00:00.000,"United States, Canada",ES_1118034_DLGX7881*E_01292020021527_80031961,No,,
2354623,GE,G78G_4_NA,GFD55GS*N***,",GFD55GSPNDG,; ,GFD55GSSNWW,",84691849209,Gas Standard Vented,Gas,,,7.8,39.75,28,32,3.48,687,71,"Cottons, eco Dry default on, High Temp, Dry Dryness TEMP - LOW, DRYNESS LEVEL - DRY","Sanitization cycle,Filter cleaning indicator,Drum light,Time remaining display,Wrinkle prevention option",Vented,,,No,,,,Yes,"ES_1123206_GFW550S*N***_11212019143018_6618069,ES_1123206_GFW550S*R***_120620210917635_3407642,ES_1123206_GFW510S*N***_12182019134400_6640243",2022-01-17T00:00:00.000,2020-02-11T00:00:00.000,"United States, Canada",ES_1123206_GFD55GS*N***_02112020185320_7200902,No,,
2355062,Kenmore,A20BCI8AI0,7165*20*,,8.8305E+11,Gas Standard Vented,Gas,,,7.4,42.5,27,31,3.48,687,64,"MIXED + NORMAL, HIGH TEMP, DRYNESS LEVEL NORMAL, ENERGY SAVER ON","Sanitization cycle,Steam cycle,Drum light,Wrinkle prevention option,Time remaining display,Energy monitor/indicator",Vented,,,No,,,,Yes,ES_15649_3165*20*_01132020180012_8412525,2020-03-15T00:00:00.000,2020-02-20T00:00:00.000,United States,ES_15649_7165*20*_02202020203050_0650707,No,,
2327885,Whirlpool,WGD6620H**,WGD6620H**,,8.83049E+11,Gas Standard Vented,Gas,,,7.4,38,27,31,3.48,687,66,"REGULAR + NORMAL, HIGH TEMP (5 DOTS), DRYNESS LEVEL NORMAL (2 DOTS), ECOBOOST ON, AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,Yes,ES_15649_WFW6620H**_10142018184846_2926289,2018-10-15T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_WGD6620H**_10142018203415_9255137,No,,
2327886,Whirlpool,WGD8620H**,WGD8620H**,,8.83049E+11,Gas Standard Vented,Gas,,,7.4,38,27,31,3.48,687,66,"REGULAR + NORMAL, HIGH TEMP (5 DOTS), DRYNESS LEVEL NORMAL (2 DOTS), ECOBOOST ON, AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,No,,2018-10-15T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_WGD8620H**_10142018202938_8978529,No,,
2327889,Whirlpool,WGD560LH**,WGD560LH**,,8.83049E+11,Gas Standard Vented,Gas,,,7.4,38,27,31,3.48,687,65,"REGULAR + NORMAL, HIGH TEMP (4 DOTS), DRYNESS LEVEL NORMAL (2 DOTS), ECOBOOST ON","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,,Yes,ES_15649_WFW5620H**_10142018184621_2781148,2018-10-15T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_WGD560LH**_10142018210101_0861486,No,,
2327892,Whirlpool,WGD9620H**,WGD9620H**,,8.83049E+11,Gas Standard Vented,Gas,,,7.4,38,27,31,3.48,687,67,"WHAT TO DRY – REGULAR, HOW TO DRY - NORMAL, TEMPERATURE HIGH, DRYNESS LEVEL NORMAL, ECOBOOST ON – LEAF, WI- FI OFF, WRINKLE SHIELD OFF","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Energy monitor/indicator,Sanitization cycle",Vented,,,Yes,Wi-Fi,Cloud Rest API,No,No,,2018-10-15T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_WGD9620H**_10142018211945_1985578,No,,
2327895,Maytag,MGD5630H**,MGD5630H**,,8.83049E+11,Gas Standard Vented,Gas,,,7.3,38,27,31,3.48,687,68,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,No,Yes,ES_15649_MHW5630H**_10142018184935_2975704,2018-10-22T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_MGD5630H**_10142018213837_3117201,No,,
2327896,Maytag,MGD6630H**,MGD6630H**,,8.83049E+11,Gas Standard Vented,Gas,,,7.3,38,27,31,3.48,687,68,"NORMAL, HIGH HEAT (5 BARS), DRYNESS LEVEL, NORMAL (2 BARS), AUTO TERM","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Sanitization cycle",Vented,,,No,,,No,Yes,ES_15649_MHW6630H**_10142018185017_3017925,2018-10-22T00:00:00.000,2018-09-26T00:00:00.000,"United States, Canada",ES_1129244_MGD6630H**_10142018213725_3045415,No,,
